Countries,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Total
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,3,4,0,0,0,0,6,0,27,12,0,0,3,148,0,0,217
Sri Lanka,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,10,21,11,0,0,0,0,0,0,0,0,37,37,0,0,0,7,139
Total,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,19,24,15,0,0,0,0,6,0,27,12,37,37,3,148,0,7,356
