country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Czech Republic,623M,200M,173M,133M,267M,325M,427M,409M,506M,667M,435M,420M,648M,667M,874M,712M,802M,813M,846M,817M,796M,937M,929M,1.05B,1.09B,1.03B,1.23B,1.29B,1.35B,1.05B,624M,416M,213M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,156M,12M,146M,133M,438M,331M,714M,776M,574M,866M,1.56B,1.36B,1.38B,227M,1.21B,1.45B,1.66B,1.89B,1.67B,1.47B,1.6B,1.9B,1.55B,2.27B,2.81B,1.29B,1.38B,923M,1.4B,1.29B,1.86B,2.41B,1.49B,1.53B,2.88B,1.51B,1.95B,944M,1.81B,1.87B,1.61B,902M,912M,1.67B,1.1B,2.05B,2.71B,3.27B,2.37B,2.46B,2.67B,1.31B,750M,791M,1.79B,1.76B,2.51B,1.94B,1.07B,978M,1.23B
Denmark,20M,,,,60M,14M,,131M,28M,3M,,,,,,23M,,,,,18M,29M,64M,115M,,,,117M,36M,,72M,8M,,183M,272M,16M,,,1M,6M,20M,1M,10M,5M,,,9M,6M,17M,14M,8M,28M,33M,11M,17M,25M,25M,22M,31M,4M,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4M,,,
Algeria,,,,,,,,,6M,,,,,,,,,,,,6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6M,,,,2M,,
Egypt,,0,7M,8M,1M,,13M,3M,26M,15M,39M,,,,,16M,,67M,78M,13M,29M,77M,81M,71M,37M,5M,19M,61M,65M,63M,20M,,13M,22M,15M,9M,5M,5M,,,,,,,,,,,,,,,,,7M,21M,,,,2M,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2M,0,,,,,,,0,,,,,,,,,,,,,,
Spain,1M,5M,6M,6M,7M,21M,21M,7M,7M,6M,70M,140M,4M,4M,84M,267M,46M,25M,38M,18M,10M,130M,251M,352M,242M,85M,183M,153M,142M,176M,115M,104M,69M,103M,248M,87M,111M,632M,171M,45M,47M,8M,18M,96M,52M,109M,841M,601M,601M,950M,262M,1.43B,545M,733M,1.05B,1.16B,471M,820M,1.02B,989M,1.2B
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8M,,,,,,,,,,,,,,,,,,,0,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,35M,,51M,,,,,,,,,,17M,,,,,,,,,,,,,,,,,,,,,,,
Finland,100M,1M,1M,,,1M,62M,33M,33M,33M,32M,39M,30M,,63M,63M,,,63M,63M,,,20M,,,,,,1M,,,22M,11M,17M,26M,26M,9M,10M,34M,28M,12M,33M,34M,40M,34M,42M,121M,61M,98M,64M,70M,65M,98M,70M,98M,27M,51M,31M,45M,27M,12M
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,942M,970M,974M,1.24B,1.44B,1.22B,1.68B,1.55B,1.5B,1.49B,1.67B,2.24B,2.54B,2.85B,2.1B,2.2B,2.02B,2.69B,3.26B,2.97B,3.81B,3.75B,3.8B,3.44B,2.99B,4.03B,3.02B,1.79B,1.99B,2.29B,1.83B,1.22B,1.26B,990M,903M,1.03B,1.94B,3.28B,3.17B,1.82B,1.08B,1.42B,1.43B,1.4B,2.3B,1.83B,1.66B,2.37B,1.98B,1.89B,870M,1.74B,1.03B,1.49B,1.66B,2.04B,2.09B,2.36B,1.78B,3.27B,2B
Gabon,,,,,,,,,,,,,,1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,2.22B,1.24B,1.12B,1.3B,1.41B,1.47B,1.33B,1.99B,1.62B,1.76B,887M,2.19B,2.46B,2.75B,2.34B,2.42B,2.5B,2.17B,2.2B,1.5B,1.7B,2.43B,2.57B,2.56B,2.55B,2.12B,1.97B,3.6B,2.55B,3.55B,1.87B,1.54B,1.18B,1.44B,1.55B,1.48B,1.66B,2.38B,1.41B,1.37B,1.63B,1.39B,1.1B,754M,1.22B,1.06B,997M,984M,987M,1.08B,1.16B,1.05B,929M,1.61B,1.65B,1.18B,1.39B,1.24B,703M,907M,429M
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46M,69M,,69M,,16M,,,,,,,,,,,,6M,7M,,,
Ghana,,,,,,,,,,,,,,,,,,,,6M,,,,,,,,,,,,,,,,,,,,,,,,,,19M,,,,,,,,,,,,,,,
Greece,,,,,7M,1M,,,,,,,,,,,,,,,,,,,,,,,,,,,15M,10M,18M,,19M,31M,9M,3M,2M,2M,,6M,22M,13M,23M,,,,,,,,,,,30M,,,17M
Guyana,,,,,,,,,,,,,,,,,2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2M,,,,,,,,,,,,,,,,,3M,,,
Hungary,,,,,,,18M,18M,37M,28M,,,8M,44M,8M,8M,,,,,4M,30M,4M,4M,,,,,,,,,,21M,,6M,,24M,,,,,34M,,,82M,,9M,,,,,,41M,,,,,,,
Indonesia,,,,7M,,,,,,,12M,,,,,,,,9M,,4M,,,,,8M,4M,,,,,,,18M,18M,26M,,9M,,53M,,18M,53M,,26M,9M,9M,,1M,,,4M,,,,,86M,95M,15M,9M,
India,,,,,,,,,1M,,,7M,2M,21M,24M,31M,,,27M,22M,,,2M,,,,,0,1M,0,4M,0,3M,9M,2M,2M,0,0,0,0,21M,2M,0,4M,28M,19M,33M,23M,15M,27M,5M,3M,,15M,36M,42M,46M,56M,44M,18M,151M
Ireland,,,,,,,,,,,,,,,,,,,2M,9M,9M,2M,,,,,,,,,,,,,,,,,,,,,,,,16M,32M,31M,28M,28M,26M,1M,26M,27M,14M,,,,,,
Iran,,,3M,,,,,28M,,,23M,6M,106M,6M,129M,81M,,,,,0,0,0,0,1M,1M,1M,1M,1M,1M,0,1M,1M,1M,0,1M,2M,0,0,0,0,0,3M,9M,1M,2M,75M,,43M,45M,45M,83M,21M,12M,47M,15M,5M,20M,,,
Iraq,3M,,,,,,,,,,,,,,,,,,,,28M,,,,,,,,168M,20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,5M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,5M,10M,14M,13M,23M,24M,13M,21M,31M,12M,45M,109M,54M,202M,211M,187M,267M,215M,254M,416M,281M,207M,350M,142M,75M,209M,85M,151M,324M,382M,296M,166M,282M,246M,230M,166M,402M,471M,575M,406M,606M,506M,404M,552M,375M,746M,640M,546M,458M,419M,399M,790M,1.46B,1.27B,704M,363M,345M
Italy,104M,245M,261M,240M,384M,295M,243M,149M,192M,325M,280M,395M,296M,330M,421M,512M,523M,502M,680M,1.31B,1.17B,1.71B,1.68B,1.18B,1.26B,920M,228M,618M,387M,335M,206M,351M,247M,340M,208M,297M,291M,454M,425M,503M,205M,269M,479M,365M,262M,830M,544M,729M,432M,509M,538M,963M,741M,861M,672M,676M,618M,791M,535M,321M,806M
Jordan,,,,,,,,,,,,36M,,22M,23M,50M,,18M,,,,,,76M,,2M,7M,,7M,64M,,,,,65M,,,6M,,,,,,,42M,20M,,13M,13M,28M,117M,,21M,33M,114M,16M,17M,80M,1M,107M,13M
Japan,1M,61M,100M,8M,14M,,5M,,,31M,,15M,8M,34M,53M,,,,9M,11M,167M,,,17M,17M,44M,92M,,,15M,30M,54M,101M,122M,130M,126M,165M,25M,,,,,,,,,,40M,,,,,,,,,,2M,3M,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13M,12M,3M,6M,183M,19M,12M,,,5M,,6M,,,,,,,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,8M,,,,,,,,,,2M,,2M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57M,,,,,,,,92M,,,18M,18M,14M,,,,,,,4M,5M,5M,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,1M,,,,,,,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,141M,,,,,,,105M,105M,130M,65M,,126M,28M,73M,,51M,48M,72M,118M,,60M,7M,28M,24M,21M,32M,,10M,228M,,98M,73M,108M,158M,280M,109M,224M,198M,350M,224M,349M,207M,94M,480M,742M,1.06B,693M,827M
Kuwait,,,,,,,,3M,,,,,,,,,,,,,27M,,,,4M,,,,,,,,,,,,,,95M,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,1M,,,,,,,,,,,,,,,,,,,,,,,,1M,,,,,,,,,,,48M,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,0,0,,26M,4M,,8M,395M,95M,107M,168M,14M,54M,32M,10M,14M,64M,7M,36M,,,,3M,,,3M,10M,,,,21M,16M,113M,113M,18M,9M,17M,32M,27M,0,,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8M,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3M,,,,,,,,,,,,,,,,60M,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9M,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,2M,,,,,,,6M,,,,,,,,,6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11M,,36M,,,217M,,,6M,42M,60M,13M,,18M,3M,19M,29M,20M,,11M,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1M,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10M,,,,,,,,,,,5M,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71M,109M,,,18M,,,,,,,0,,,
Mozambique,,,,,,,,,,,,,,,,,,1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1M,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,7M,,,,,,,,,,,6M,,,,,3M,,,,,,,,0,,,,11M,,,,,,,,,,0,,,,15M,15M,,,,,,
